"Period","Gross_SR_EMA_120","Net_SR_EMA_120","Gross_CR_EMA_120","Net_CR_EMA_120","gross_profit_ema_120","net_profit_ema_120","Avg_nTrades_EMA_120","Summary_Statistic_EMA_120","Gross_SR_SD_EMA","Net_SR_SD_EMA","Gross_CR_SD_EMA","Net_CR_SD_EMA","gross_profit_sd_ema","net_profit_sd_ema","Avg_nTrades_SD_EMA","Summary_Statistic_SD_EMA"
"2022 Q1",0.0181106031369411,0.0113664613435548,0.047582469342798,0.0229500710392508,67365.8800000002,42429.88,0.0832632127258891,0.17316237823598,0.0240198386713537,0.0227936202861006,0.0705868894505059,0.0665165122018455,85882.5999999994,81562.5999999994,0.0832632127258891,0.501878945173416
"2022 Q2",0.00311675502118736,-0.00414571072341545,0.00360333535792884,-0.00317997118340822,11743.5600000004,-15688.4399999996,0.0901775147928987,-0.0253204739289806,-0.00835646174675793,-0.00986487993137541,-0.0065479999371969,-0.00708576812540807,-31347.9199999997,-37035.9199999997,0.0901775147928987,-0.0564203248200205
"2022 Q3",0.00695635635544212,-0.00288964758627411,0.00845573607756645,-0.00257848159358908,19754.559999999,-8253.440000001,0.09067599067599,-0.0207284866305316,-0.00264807457261925,-0.00461769249928505,-0.00309040457869811,-0.00507372705594774,-7399.64000000029,-12919.6400000003,0.09067599067599,-0.0407878356423668
"2022 Q4",0.00606923445795346,-0.00392510145940775,0.0076984869594044,-0.00313020457896174,16547.96,-10764.04,0.0898149244307651,-0.0255431971130017,-0.000536389111636472,-0.00237250860237392,-0.000514843581400554,-0.00217169057991472,-1449.28000000014,-6417.28000000014,0.0898149244307651,-0.0177215000335889
"2023 Q1",0.0178297094600161,0.00920673846713175,0.0400640385964794,0.0155309673235211,41524.7600000005,21556.7600000005,0.0662710581863032,0.131289495609518,0.0022420312784511,0.000208783535279698,0.00349343907570751,0.000305547176224263,5134.80000000047,478.800000000469,0.0662710581863032,0.00244556838800054
"2023 Q2",0.00467324047633939,-0.00122844468554583,0.00682219889599908,-0.00156698609324509,10332.4800000002,-2723.51999999982,0.0445026178010478,-0.0137193781267929,-0.0102076811187964,-0.0129071642261032,-0.00985593530645835,-0.00998711717467712,-17923.5199999997,-22699.5199999997,0.0445026178010478,-0.0774637417061009
"2023 Q3",-0.00749774133020356,-0.0200369495715102,-0.00497031624335085,-0.00782550436365859,-15836.4399999989,-42692.4399999989,0.0889931604898956,-0.066420392434768,-0.00416670703150836,-0.00656547166994571,-0.00455202101709317,-0.0063103444904046,-8596.56000000021,-13564.5600000002,0.0889931604898956,-0.0478683000199566
"2023 Q4",-0.00734675387599518,-0.0210009521442005,-0.00466314514509147,-0.00824097800493977,-15253.800000001,-44017.800000001,0.0960644437319678,-0.0580454043944592,0.00385607805036757,0.00154109314092586,0.00369109481238924,0.00137631551343965,7761.99999999983,3105.99999999983,0.0960644437319678,0.00966494610125399
"2024 Q1",0.00580950786891577,-0.00771005029388599,0.0102288255135656,-0.00848900179719058,11612.24,-15531.76,0.0907558979297068,-0.058854033687451,0.00468707612851638,0.00232479395890411,0.00547720443847131,0.00260724933345544,9343.5600000004,4639.5600000004,0.0907558979297068,0.0180759933580829
"2024 Q2",-0.000338067331257987,-0.0134166358344339,-0.000368868326482593,-0.00803046678202571,-763.080000002519,-30523.0800000025,0.097861257990688,-0.057955196542474,-0.00383327848713722,-0.00612907398673511,-0.00357038521827255,-0.00532335863874909,-8622.09999999992,-13806.0999999999,0.097861257990688,-0.0384182270531672
"2024 Q3",0.00788855154847475,-0.000248192877442238,0.0111569734323209,-0.000270360803017528,27615.1799999993,-872.820000000691,0.0922765965716963,-0.00218202454399196,-0.00185499651718066,-0.00335497066285257,-0.00186099834230635,-0.00322461715191765,-6515.78000000074,-11795.7800000007,0.0922765965716963,-0.0260251992593971
"2024 Q4",-0.00024337885295444,-0.0100089544690556,-0.000255141253443662,-0.00634144985617027,-636.239999998797,-26316.2399999988,0.0844181459566073,-0.0463253142864276,0.00291947217221383,0.00120614631066625,0.00363126558135424,0.00146397318406725,7448.8000000007,3080.8000000007,0.0844181459566073,0.0106945602972527
"Total",0.0550280169348589,-0.0640374398344849,0.125354593207694,-0.0111723666934347,0,0,0.084589568440288,-0.070642027843381,0.00612090771526628,-0.0177373243467945,0.0568873053770022,0.0330929741920131,0,0,0.084589568440288,0.238054884783408
